prediction_method,iw_threshold,seed,n_source,n_target,n_val_source,n_val_target,h_val_acc,domain_log_odds_clipped_count,source_strength,domain_temperature,domain_source_prior,domain_target_prior,domain_cal_balanced_accuracy,domain_cal_brier,n_source_critic_train_region,n_target_critic_train_region,n_source_critic_select_region,n_target_critic_select_region,iw_error_contribution,target_residual_mass,n_source_a,n_source_b,n_target_a,n_target_b,status,estimate_kind,confidence_bound_available,epsilon,iw_weight_sum,iw_effective_n,iw_weight_max,iw_weight_p50,iw_weight_p95,residual_target_disagreement,residual_error_contribution,error_estimate_raw,accuracy_estimate_raw,lower_bound,output_clipped,critic_epoch,critic_repeat,critic_selection_score,critic_selection_source_disagreement,critic_selection_target_disagreement,dataset,shift,train_method,bound_strategy,dim,src_accuracy,h_full_acc,trg_accuracy,trg_eval_accuracy,split_file,run_id,bound_valid,bound_valid_eval,residual_source_error,residual_source_disagreement,residual_discrepancy,delta,error_upper_bound_raw,max_ts_agree_diff
iw_overlap_critic,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,1210.0,5151.0,601.0,2656.0,0.039220647901141374,0.5234403391883706,945.0,680.0,3934.0,4321.0,ok,plugin,False,,834.7426369097426,937.4849730798019,0.9986851286041345,0.8950276248930378,0.9896801804266452,0.8382318907660263,0.4387643852210781,0.47798503312221946,0.5220149668777805,0.5220149668777805,False,48.0,1.0,0.5280799269676208,0.30550438165664673,0.8335843086242676,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,740.0,5151.0,374.0,2656.0,0.039220647901141374,0.5234403391883706,945.0,680.0,3934.0,4321.0,ok,plugin,False,,834.7426369097426,937.4849730798019,0.9986851286041345,0.8950276248930378,0.9896801804266452,0.6206896551724138,0.14938753696511917,0.18860818486626055,0.8113918151337395,0.8113918151337395,False,48.0,24.0,0.20377832651138306,0.44117647409439087,0.6449548006057739,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,0.10441176470588236,0.43970588235294117,0.18098377281947264,,,
iw_overlap_critic,2.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,1938.0,19.0,972.0,4.0,0.08743949330008141,0.0012113870381586917,1612.0,13.0,8245.0,10.0,ok,plugin,False,,1619.7876256788622,1551.4148478129882,1.9988147646243906,0.9703610157024289,1.4050347807909382,1.0,0.0012113870381586917,0.0886508803382401,0.9113491196617599,0.9113491196617599,False,49.0,2.0,0.6567696332931519,0.34323036670684814,1.0,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,12.0,19.0,3.0,4.0,0.08743949330008141,0.0012113870381586917,1612.0,13.0,8245.0,10.0,ok,plugin,False,,1619.7876256788622,1551.4148478129882,1.9988147646243906,0.9703610157024289,1.4050347807909382,0.6,-0.00020500396030377868,0.08723448933977763,0.9127655106602224,0.9127655106602224,False,38.0,6.0,0.75,0.0,0.75,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,0.0,0.7692307692307693,-0.1692307692307693,,,
iw_overlap_critic,5.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,,,,,0.08743949330008141,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1648.2085114338565,1548.8465704196246,2.8090114882263797,0.9718176981563554,1.4510296488601315,,0.0,0.08743949330008141,0.9125605066999186,0.9125605066999186,False,,,,,,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,,,,,0.08743949330008141,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1648.2085114338565,1548.8465704196246,2.8090114882263797,0.9718176981563554,1.4510296488601315,,0.0,0.08743949330008141,0.9125605066999186,0.9125605066999186,False,,,,,,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,
dis2_reference,,0,6500,33009,1625,8255,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.07711571785933785,,,,,,,,0.19633192031438385,0.8036680796856162,0.7265523618262784,,44.0,2.0,0.1770389974117279,0.47999998927116394,0.6570389866828918,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,0.01,0.2734476381737217,0.11079345850999389
iw_overlap_critic,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5443768501281738,0.5,0.5,0.6561071872711182,0.21363909542560577,1135.0,6991.0,556.0,3540.0,0.02058444493603997,0.7165354330708661,959.0,666.0,2340.0,5915.0,ok,plugin,False,,496.93070236169285,766.7943294244155,0.9979612552121088,0.5136428366705722,0.9389049318552551,0.590363482671175,0.4230163537250151,0.44360079866105506,0.5563992013389449,0.5563992013389449,False,49.0,3.0,0.4532530903816223,0.14363957941532135,0.5968926548957825,entity13,1,ERM-aug-rand,features,512,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5443768501281738,0.5,0.5,0.6561071872711182,0.21363909542560577,815.0,6991.0,419.0,3540.0,0.02058444493603997,0.7165354330708661,959.0,666.0,2340.0,5915.0,ok,plugin,False,,496.93070236169285,766.7943294244155,0.9979612552121088,0.5136428366705722,0.9389049318552551,0.45595942519019445,0.25355131024422367,0.2741357551802636,0.7258642448197363,0.7258642448197363,False,48.0,17.0,0.23877741396427155,0.2219570428133011,0.46073445677757263,entity13,1,ERM-aug-rand,features,512,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,0.13663663663663664,0.23873873873873874,0.2172206864514557,,,
iw_overlap_critic,2.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5443768501281738,0.5,0.5,0.6561071872711182,0.21363909542560577,1678.0,3222.0,827.0,1683.0,0.07478434442689927,0.3406420351302241,1419.0,206.0,5443.0,2812.0,ok,plugin,False,,1158.305935688716,1023.6519871824203,1.9970509310559075,0.7240063402189273,1.7994346711695064,0.6006401137980085,0.20460327074500304,0.2793876151719023,0.7206123848280976,0.7206123848280976,False,49.0,26.0,0.4152257442474365,0.19261740148067474,0.6078431606292725,entity13,1,ERM-aug-rand,features,512,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,
