prediction_method,iw_threshold,seed,n_source,n_target,n_val_source,n_val_target,h_val_acc,domain_log_odds_clipped_count,source_strength,domain_temperature,domain_source_prior,domain_target_prior,domain_cal_balanced_accuracy,domain_cal_brier,n_source_critic_train_region,n_target_critic_train_region,n_source_critic_select_region,n_target_critic_select_region,iw_error_contribution,target_residual_mass,n_source_a,n_source_b,n_target_a,n_target_b,status,estimate_kind,confidence_bound_available,epsilon,iw_weight_sum,iw_effective_n,iw_weight_max,iw_weight_p50,iw_weight_p95,residual_target_disagreement,residual_error_contribution,error_estimate_raw,accuracy_estimate_raw,lower_bound,output_clipped,critic_epoch,critic_repeat,critic_selection_score,critic_selection_source_disagreement,critic_selection_target_disagreement,dataset,shift,train_method,bound_strategy,dim,src_accuracy,h_full_acc,trg_accuracy,trg_eval_accuracy,split_file,run_id,bound_valid,bound_valid_eval,residual_source_error,residual_source_disagreement,residual_discrepancy,delta,error_upper_bound_raw,max_ts_agree_diff
iw_overlap_critic,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.554425597190857,0.5,0.5,0.5686013698577881,0.24799638986587524,1210.0,5151.0,601.0,2656.0,0.039220648804548466,0.5234403391883706,945.0,680.0,3934.0,4321.0,ok,plugin,False,,834.742665313952,937.4849746990637,0.9986850989887098,0.8950276048297404,0.9896802034237006,0.7655635269613515,0.4007268322228952,0.43994748102744363,0.5600525189725564,0.5600525189725564,False,49.0,23.0,0.5540440082550049,0.20461565256118774,0.7586596608161926,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849010467529,splits_entity13_ERM-aug-rand_1_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.554425597190857,0.5,0.5,0.5686013698577881,0.24799638986587524,740.0,5151.0,374.0,2656.0,0.039220648804548466,0.5234403391883706,945.0,680.0,3934.0,4321.0,ok,plugin,False,,834.742665313952,937.4849746990637,0.9986850989887098,0.8950276048297404,0.9896802034237006,0.6440638741032169,0.15392489400363413,0.19314554280818258,0.8068544571918175,0.8068544571918175,False,49.0,10.0,0.2324693202972412,0.4358288645744324,0.6682981848716736,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849010467529,splits_entity13_ERM-aug-rand_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.10441176470588236,0.45441176470588235,0.1896521093973345,,,
iw_overlap_critic,2.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.554425597190857,0.5,0.5,0.5686013698577881,0.24799638986587524,1938.0,19.0,972.0,4.0,0.08743949353967738,0.0012113870381586917,1612.0,13.0,8245.0,10.0,ok,plugin,False,,1619.7876309880858,1551.4148721096394,1.998814139561107,0.9703610363743848,1.4050347194499244,1.0,0.0012113870381586917,0.08865088057783607,0.9113491194221639,0.9113491194221639,False,49.0,23.0,0.732732892036438,0.2672670781612396,1.0,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849010467529,splits_entity13_ERM-aug-rand_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.554425597190857,0.5,0.5,0.5686013698577881,0.24799638986587524,12.0,19.0,3.0,4.0,0.08743949353967738,0.0012113870381586917,1612.0,13.0,8245.0,10.0,ok,plugin,False,,1619.7876309880858,1551.4148721096394,1.998814139561107,0.9703610363743848,1.4050347194499244,0.4,1.863672366397987e-05,0.08745813026334136,0.9125418697366586,0.9125418697366586,False,0.0,3.0,0.75,0.0,0.75,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849010467529,splits_entity13_ERM-aug-rand_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.0,0.38461538461538464,0.015384615384615385,,,
iw_overlap_critic,5.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.554425597190857,0.5,0.5,0.5686013698577881,0.24799638986587524,,,,,0.08743949353967738,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1648.208512295919,1548.8466031241971,2.8090110361600273,0.9718177324963967,1.4510294354635414,,0.0,0.08743949353967738,0.9125605064603226,0.9125605064603226,False,,,,,,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849010467529,splits_entity13_ERM-aug-rand_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.554425597190857,0.5,0.5,0.5686013698577881,0.24799638986587524,,,,,0.08743949353967738,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1648.208512295919,1548.8466031241971,2.8090110361600273,0.9718177324963967,1.4510294354635414,,0.0,0.08743949353967738,0.9125605064603226,0.9125605064603226,False,,,,,,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849010467529,splits_entity13_ERM-aug-rand_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
dis2_reference,,0,6500,33009,1625,8255,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.07711571785933787,,,,,,,,0.2572016962077819,0.7427983037922181,0.6656825859328802,,49.0,9.0,0.17788147926330566,0.38564103841781616,0.5635225176811218,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849010467529,splits_entity13_ERM-aug-rand_1_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,0.01,0.33431741406711973,0.17166323440339193
iw_overlap_critic,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419650554657,1061.0,38.0,539.0,13.0,0.047812920608648946,0.4307692307692308,879.0,746.0,37.0,28.0,ok,plugin,False,,874.0267362823993,878.9850045447927,0.9999887934500495,0.994987115133219,0.9994654637490208,0.9285714285714286,0.4,0.44781292060864897,0.552187079391351,0.552187079391351,False,48.0,9.0,0.6893907189369202,0.31060928106307983,1.0,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419650554657,889.0,38.0,436.0,13.0,0.047812920608648946,0.4307692307692308,879.0,746.0,37.0,28.0,ok,plugin,False,,874.0267362823993,878.9850045447927,0.9999887934500495,0.994987115133219,0.9994654637490208,0.5357142857142857,-0.01637451020829035,0.03143841040035859,0.9685615895996414,0.9685615895996414,False,38.0,14.0,0.255645751953125,0.6674311757087708,0.9230769276618958,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.08176943699731903,0.6554959785522788,-0.11978169283799311,,,
iw_overlap_critic,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419650554657,,,,,0.08548542547075218,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984472972017,1624.9331512248143,1.0185767005753568,0.9993005682814418,1.0091213077881618,,0.0,0.08548542547075218,0.9145145745292478,0.9145145745292478,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419650554657,,,,,0.08548542547075218,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984472972017,1624.9331512248143,1.0185767005753568,0.9993005682814418,1.0091213077881618,,0.0,0.08548542547075218,0.9145145745292478,0.9145145745292478,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_overlap_critic,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419650554657,,,,,0.08548542547075218,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984472972017,1624.9331512248143,1.0185767005753568,0.9993005682814418,1.0091213077881618,,0.0,0.08548542547075218,0.9145145745292478,0.9145145745292478,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419650554657,,,,,0.08548542547075218,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984472972017,1624.9331512248143,1.0185767005753568,0.9993005682814418,1.0091213077881618,,0.0,0.08548542547075218,0.9145145745292478,0.9145145745292478,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
dis2_reference,,0,6500,260,1625,65,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.20271232772930264,,,,,,,,0.015384615650543831,0.9846153843494562,0.7819030566201535,,47.0,23.0,0.15897434949874878,0.5333333611488342,0.692307710647583,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,0.01,0.21809694337984648,-0.07015384615384618
iw_overlap_critic,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.523448944091797,0.5,0.5,0.5138461589813232,0.24997751414775848,1041.0,36.0,481.0,18.0,0.043971924385185955,0.5538461538461539,835.0,790.0,29.0,36.0,ok,plugin,False,,821.978551333644,834.8228233121679,0.9999742823915412,0.9885790144867295,0.9988812407657167,0.75,0.4153846153846154,0.45935653976980134,0.5406434602301986,0.5406434602301986,False,49.0,23.0,0.5892179012298584,0.2996709644794464,0.8888888955116272,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.523448944091797,0.5,0.5,0.5138461589813232,0.24997751414775848,909.0,36.0,494.0,18.0,0.043971924385185955,0.5538461538461539,835.0,790.0,29.0,36.0,ok,plugin,False,,821.978551333644,834.8228233121679,0.9999742823915412,0.9885790144867295,0.9988812407657167,0.7777777777777778,0.10336903602726387,0.14734096041244982,0.8526590395875502,0.8526590395875502,False,48.0,7.0,0.2228969931602478,0.6659919023513794,0.8888888955116272,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.08481012658227848,0.6759493670886076,0.10182841068917015,,,
iw_overlap_critic,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.523448944091797,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561346366829452,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.02780433634,1624.3167557606664,1.1044038706515327,0.9993943887100536,1.028945421278374,,0.0,0.08561346366829452,0.9143865363317055,0.9143865363317055,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.523448944091797,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561346366829452,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.02780433634,1624.3167557606664,1.1044038706515327,0.9993943887100536,1.028945421278374,,0.0,0.08561346366829452,0.9143865363317055,0.9143865363317055,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_overlap_critic,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.523448944091797,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561346366829452,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.02780433634,1624.3167557606664,1.1044038706515327,0.9993943887100536,1.028945421278374,,0.0,0.08561346366829452,0.9143865363317055,0.9143865363317055,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.523448944091797,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561346366829452,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.02780433634,1624.3167557606664,1.1044038706515327,0.9993943887100536,1.028945421278374,,0.0,0.08561346366829452,0.9143865363317055,0.9143865363317055,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
dis2_reference,,0,6500,260,1625,65,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.20271232772930264,,,,,,,,0.14953846180438995,0.85046153819561,0.6477492104663074,,47.0,23.0,0.2769230902194977,0.4153846204280853,0.692307710647583,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_a9f9637e0b08.npz,a9f9637e0b08,True,False,,,,0.01,0.3522507895336926,0.064
iw_overlap_critic,1.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650232195854187,0.5,0.5,0.5637878775596619,0.2481401264667511,1190.0,5224.0,581.0,2654.0,0.04333556711216537,0.5316777710478497,922.0,703.0,3866.0,4389.0,ok,plugin,False,,816.3133343374235,914.8941703237332,0.999937890889247,0.8962087655023492,0.9906559625916308,0.7407154249259512,0.39382192610539063,0.437157493217556,0.5628425067824441,0.5628425067824441,False,49.0,23.0,0.5383254885673523,0.20281992852687836,0.7411454319953918,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850393414497375,splits_entity13_BN_adapt_1_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650232195854187,0.5,0.5,0.5637878775596619,0.2481401264667511,760.0,5224.0,394.0,2654.0,0.04333556711216537,0.5316777710478497,922.0,703.0,3866.0,4389.0,ok,plugin,False,,816.3133343374235,914.8941703237332,0.999937890889247,0.8962087655023492,0.9906559625916308,0.656641604010025,0.15626565390344918,0.19960122101561456,0.8003987789843854,0.8003987789843854,False,48.0,10.0,0.21365508437156677,0.46192893385887146,0.6755840182304382,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850393414497375,splits_entity13_BN_adapt_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.1166429587482219,0.4793741109530583,0.1772674930569667,,,
iw_overlap_critic,2.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650232195854187,0.5,0.5,0.5637878775596619,0.2481401264667511,1942.0,21.0,973.0,5.0,0.09859153917555401,0.0009691096305269534,1614.0,11.0,8247.0,8.0,ok,plugin,False,,1622.2537177272688,1556.4153920394392,1.9990020535284525,0.9750486713116084,1.3807890201173334,1.0,0.0009691096305269534,0.09956064880608097,0.900439351193919,0.900439351193919,False,49.0,23.0,0.7298791408538818,0.27012088894844055,1.0,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850393414497375,splits_entity13_BN_adapt_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650232195854187,0.5,0.5,0.5637878775596619,0.2481401264667511,8.0,21.0,2.0,5.0,0.09859153917555401,0.0009691096305269534,1614.0,11.0,8247.0,8.0,ok,plugin,False,,1622.2537177272688,1556.4153920394392,1.9990020535284525,0.9750486713116084,1.3807890201173334,1.0,0.00017620175100490056,0.0987677409265589,0.9012322590734411,0.9012322590734411,False,7.0,22.0,0.5,0.5,1.0,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850393414497375,splits_entity13_BN_adapt_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,0.0,0.8181818181818182,0.18181818181818177,,,
iw_overlap_critic,5.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650232195854187,0.5,0.5,0.5637878775596619,0.2481401264667511,,,,,0.09859153917555398,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1646.3505643146007,1553.930554698981,2.7557952440952973,0.9764217130483973,1.4047130512240267,,0.0,0.09859153917555398,0.901408460824446,0.901408460824446,False,,,,,,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850393414497375,splits_entity13_BN_adapt_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650232195854187,0.5,0.5,0.5637878775596619,0.2481401264667511,,,,,0.09859153917555398,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1646.3505643146007,1553.930554698981,2.7557952440952973,0.9764217130483973,1.4047130512240267,,0.0,0.09859153917555398,0.901408460824446,0.901408460824446,False,,,,,,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850393414497375,splits_entity13_BN_adapt_1_0_a9f9637e0b08.npz,a9f9637e0b08,False,False,,,,,,
dis2_reference,,0,6500,33009,1625,8255,0.903384618461132,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.07711571785933787,,,,,,,,0.2640629890494676,0.7359370109505323,0.6588212930911944,,49.0,9.0,0.1785188913345337,0.3835897445678711,0.5621086359024048,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850393414497375,splits_entity13_BN_adapt_1_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,0.01,0.3411787069088055,0.16744760751059967
iw_overlap_critic,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,1044.0,35.0,516.0,14.0,0.046594460379709816,0.4153846153846154,874.0,751.0,38.0,27.0,ok,plugin,False,,869.3635174735069,873.985510728233,0.9999783995034343,0.9954214401814736,0.9996173801023032,0.8888888888888888,0.36923076923076925,0.4158252296104791,0.5841747703895209,0.5841747703895209,False,49.0,18.0,0.656516432762146,0.3434835970401764,1.0,entity13,2,BN_adapt,logits,13,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_a9f9637e0b08.npz,a9f9637e0b08,True,True,,,,,,
