prediction_method,iw_threshold,seed,n_source,n_target,n_val_source,n_val_target,h_val_acc,domain_log_odds_clipped_count,source_strength,domain_temperature,domain_source_prior,domain_target_prior,domain_cal_balanced_accuracy,domain_cal_brier,n_source_critic_train_region,n_target_critic_train_region,n_source_critic_select_region,n_target_critic_select_region,iw_error_contribution,target_residual_mass,n_source_a,n_source_b,n_target_a,n_target_b,status,estimate_kind,confidence_bound_available,epsilon,iw_weight_sum,iw_effective_n,iw_weight_max,iw_weight_p50,iw_weight_p95,residual_target_disagreement,residual_error_contribution,error_estimate_raw,accuracy_estimate_raw,lower_bound,output_clipped,critic_epoch,critic_repeat,critic_selection_score,critic_selection_source_disagreement,critic_selection_target_disagreement,dataset,shift,train_method,bound_strategy,dim,src_accuracy,h_full_acc,trg_accuracy,trg_eval_accuracy,split_file,run_id,bound_valid,bound_valid_eval,residual_source_error,residual_source_disagreement,residual_discrepancy,delta,error_upper_bound_raw,max_ts_agree_diff
iw_overlap_critic,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,1210.0,5151.0,601.0,2656.0,0.039220647901141374,0.5234403391883706,945.0,680.0,3934.0,4321.0,ok,plugin,False,,834.7426369097426,937.4849730798019,0.9986851286041345,0.8950276248930378,0.9896801804266452,0.8382318907660263,0.4387643852210781,0.47798503312221946,0.5220149668777805,0.5220149668777805,False,48.0,1.0,0.5280799269676208,0.30550438165664673,0.8335843086242676,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_f475b82dfdbf.npz,f475b82dfdbf,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,740.0,5151.0,374.0,2656.0,0.039220647901141374,0.5234403391883706,945.0,680.0,3934.0,4321.0,ok,plugin,False,,834.7426369097426,937.4849730798019,0.9986851286041345,0.8950276248930378,0.9896801804266452,0.6206896551724138,0.14938753696511917,0.18860818486626055,0.8113918151337395,0.8113918151337395,False,48.0,24.0,0.20377832651138306,0.44117647409439087,0.6449548006057739,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,0.10441176470588236,0.43970588235294117,0.18098377281947264,,,
iw_overlap_critic,2.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,1938.0,19.0,972.0,4.0,0.08743949330008141,0.0012113870381586917,1612.0,13.0,8245.0,10.0,ok,plugin,False,,1619.7876256788622,1551.4148478129882,1.9988147646243906,0.9703610157024289,1.4050347807909382,1.0,0.0012113870381586917,0.0886508803382401,0.9113491196617599,0.9113491196617599,False,49.0,2.0,0.6567696332931519,0.34323036670684814,1.0,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,12.0,19.0,3.0,4.0,0.08743949330008141,0.0012113870381586917,1612.0,13.0,8245.0,10.0,ok,plugin,False,,1619.7876256788622,1551.4148478129882,1.9988147646243906,0.9703610157024289,1.4050347807909382,0.6,-0.00020500396030377868,0.08723448933977763,0.9127655106602224,0.9127655106602224,False,38.0,6.0,0.75,0.0,0.75,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,0.0,0.7692307692307693,-0.1692307692307693,,,
iw_overlap_critic,5.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,,,,,0.08743949330008141,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1648.2085114338565,1548.8465704196246,2.8090114882263797,0.9718176981563554,1.4510296488601315,,0.0,0.08743949330008141,0.9125605066999186,0.9125605066999186,False,,,,,,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,33009,1625,8255,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,,,,,0.08743949330008141,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1648.2085114338565,1548.8465704196246,2.8090114882263797,0.9718176981563554,1.4510296488601315,,0.0,0.08743949330008141,0.9125605066999186,0.9125605066999186,False,,,,,,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
dis2_reference,,0,6500,33009,1625,8255,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.07711571785933785,,,,,,,,0.19633192031438385,0.8036680796856162,0.7265523618262784,,44.0,2.0,0.1770389974117279,0.47999998927116394,0.6570389866828918,entity13,1,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,0.01,0.2734476381737217,0.11079345850999389
iw_overlap_critic,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419948577881,1061.0,38.0,539.0,13.0,0.047812920652748725,0.4307692307692308,879.0,746.0,37.0,28.0,ok,plugin,False,,874.026736447965,878.9850045470848,0.9999887962474922,0.994987116762556,0.9994654654947918,0.8928571428571429,0.38461538461538464,0.43242830526813336,0.5675716947318666,0.5675716947318666,False,49.0,2.0,0.6781837940216064,0.32181617617607117,1.0,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_f475b82dfdbf.npz,f475b82dfdbf,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419948577881,889.0,38.0,436.0,13.0,0.047812920652748725,0.4307692307692308,879.0,746.0,37.0,28.0,ok,plugin,False,,874.026736447965,878.9850045470848,0.9999887962474922,0.994987116762556,0.9994654654947918,0.8214285714285714,0.0789853578057331,0.12679827845848182,0.8732017215415182,0.8732017215415182,False,32.0,7.0,0.2028934359550476,0.7201834917068481,0.9230769276618958,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,True,0.08176943699731903,0.7198391420911529,0.10158942933741855,,,
iw_overlap_critic,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419948577881,,,,,0.08548542555928595,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984481372521,1624.9331512180481,1.0185766983514022,0.999300564258624,1.0091213126354317,,0.0,0.08548542555928595,0.914514574440714,0.914514574440714,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
