plot,panel,series,n_available,n_matched,n_plotted,n_unsupported_or_nonfinite,mae,empirical_coverage,mean_violation_magnitude,hybrid_method,iw_threshold,seed,DA,prediction_column
accuracy_vs_baselines,logits,IW overlap critic | W=5 | seed=0 (plug-in),60,60,60,0,0.16740866421097575,0.03333333333333333,0.1671690507988567,iw_overlap_critic,5.0,0,True,lower_bound
accuracy_vs_baselines,logits,ATC (neg. entropy),60,60,60,0,0.08293623973925908,0.2,0.0805417999625206,iw_overlap_critic,5.0,0,True,lower_bound
accuracy_vs_baselines,logits,COT,60,60,60,0,0.08075333839903275,0.16666666666666666,0.07900888292739788,iw_overlap_critic,5.0,0,True,lower_bound
accuracy_vs_baselines,logits,AC,60,60,60,0,0.10910890946785609,0.03333333333333333,0.10852832744518916,iw_overlap_critic,5.0,0,True,lower_bound
logits_vs_features,logits,IW overlap critic | W=5 | seed=0 (plug-in),60,60,60,0,0.16740866421097575,0.03333333333333333,0.1671690507988567,iw_overlap_critic,5.0,0,True,lower_bound
logits_vs_features,features,IW overlap critic | W=5 | seed=0 (plug-in),60,60,55,5,0.13663061142364272,0.10909090909090909,0.11177127567051234,iw_overlap_critic,5.0,0,True,lower_bound
all_pca,PCA1,IW overlap critic | W=5 | seed=0 (plug-in),60,60,55,5,0.16319956230383617,0.16363636363636364,0.11930273357487739,iw_overlap_critic,5.0,0,True,lower_bound
all_pca,PCA4,IW overlap critic | W=5 | seed=0 (plug-in),60,60,58,2,0.15774070730106696,0.10344827586206896,0.1368575884040922,iw_overlap_critic,5.0,0,True,lower_bound
all_pca,PCA16,IW overlap critic | W=5 | seed=0 (plug-in),60,60,60,0,0.16017531275169725,0.03333333333333333,0.15989380542085885,iw_overlap_critic,5.0,0,True,lower_bound
all_pca,PCA32,IW overlap critic | W=5 | seed=0 (plug-in),60,60,60,0,0.16925352967912538,0.016666666666666666,0.1691649352349058,iw_overlap_critic,5.0,0,True,lower_bound
all_pca,PCA64,IW overlap critic | W=5 | seed=0 (plug-in),60,60,59,1,0.17235910206349234,0.03389830508474576,0.1721166995886676,iw_overlap_critic,5.0,0,True,lower_bound
all_pca,PCA128,IW overlap critic | W=5 | seed=0 (plug-in),60,60,60,0,0.1762808193896784,0.03333333333333333,0.17598817158517957,iw_overlap_critic,5.0,0,True,lower_bound
