plot,panel,series,n_available,n_matched,n_plotted,n_unsupported_or_nonfinite,mae,empirical_coverage,mean_violation_magnitude,hybrid_method,iw_threshold,seed,DA,prediction_column
accuracy_vs_baselines,logits,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,90,0,0.1220726891135684,0.28888888888888886,0.10527993854903551,iw_residual_dis2,1.0,0,False,lower_bound
accuracy_vs_baselines,logits,ATC (neg. entropy),90,90,90,0,0.06647069421079424,0.28888888888888886,0.05857754581504398,iw_residual_dis2,1.0,0,False,lower_bound
accuracy_vs_baselines,logits,COT,90,90,90,0,0.06961517172555129,0.25555555555555554,0.064187209515108,iw_residual_dis2,1.0,0,False,lower_bound
accuracy_vs_baselines,logits,AC,90,90,90,0,0.10911147031519149,0.1,0.10749399099085066,iw_residual_dis2,1.0,0,False,lower_bound
logits_vs_features,logits,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,90,0,0.1220726891135684,0.28888888888888886,0.10527993854903551,iw_residual_dis2,1.0,0,False,lower_bound
logits_vs_features,features,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,90,0,0.11677447054755191,0.35555555555555557,0.07692425604883983,iw_residual_dis2,1.0,0,False,lower_bound
all_pca,PCA1,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,86,4,0.11695897704473338,0.38372093023255816,0.07703671845063959,iw_residual_dis2,1.0,0,False,lower_bound
all_pca,PCA4,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,89,1,0.11854735090461099,0.34831460674157305,0.08131001836901035,iw_residual_dis2,1.0,0,False,lower_bound
all_pca,PCA16,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,90,0,0.11915275292905052,0.35555555555555557,0.08353589790387916,iw_residual_dis2,1.0,0,False,lower_bound
all_pca,PCA32,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,90,0,0.12445979256922449,0.26666666666666666,0.09383092145342921,iw_residual_dis2,1.0,0,False,lower_bound
all_pca,PCA64,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,89,1,0.13769794883148168,0.21348314606741572,0.11527024186007376,iw_residual_dis2,1.0,0,False,lower_bound
all_pca,PCA128,IW residual DIS2 | W=1 | seed=0 (plug-in),90,90,90,0,0.15043973054210721,0.2111111111111111,0.13752873801917465,iw_residual_dis2,1.0,0,False,lower_bound
